Quantity,Unit,Ingredient,Grams
0.35,quart,eggplant,311.23
3.0,tablespoon,vinegar,45.0
4.66,teaspoon,cloves,12.35
1.5,ml,black beans,1.32
2.37,tablespoon,black beans,31.28
4.49,teaspoon,chicken broth,22.9
3.37,quart,cinnamon,1785.29
0.47,pint,saffron,66.69
1.68,pound,mayonnaise,693.46
4.51,gallon,peach,16728.94
3.17,pound,cream of tartar,1006.54
1.02,liter,cheese,1142.4
3.39,pound,garlic,1599.21
0.39,ounce,apricots,9.07
1.09,liter,cloves,577.7
1.8,cup,gelatin,367.2
3.47,ounce,celery,78.7
1.25,liter,flour,737.5
4.42,ounce,onion,115.28
3.48,quart,cheese,3687.13
0.57,tablespoon,onion,7.87
3.54,tablespoon,olive oil,48.85
2.41,teaspoon,pasta,10.85
3.79,liter,pomegranate,4244.8
1.56,quart,pomegranate,1652.85
4.52,gallon,zucchini,16252.79
1.79,pound,heavy cream,820.06
2.33,liter,garlic,2423.2
1.42,teaspoon,ketchup,7.81
0.78,liter,milk,803.4
3.31,quart,nutmeg,1503.0
3.23,cup,pineapple,736.44
0.81,liter,cheddar,834.3
2.2,liter,orange,1936.0
0.72,gallon,blackberries,2425.43
1.43,pint,apricots,554.64
1.89,quart,tomato paste,2056.13
1.47,pound,taco seasoning,433.41
1.24,quart,hazelnuts,750.75
2.76,gallon,mayonnaise,9506.41
2.13,teaspoon,olive oil,9.8
2.24,tablespoon,vegetable oil,30.58
4.35,tablespoon,coconut,61.99
2.79,teaspoon,heavy cream,14.09
3.12,pint,olive oil,1357.7
3.54,ml,hazelnuts,2.27
0.84,liter,oats,336.0
5.0,pound,soy sauce,2494.8
4.36,pound,eggplant,1859.03
4.26,liter,strawberries,3408.0
4.95,teaspoon,coriander,14.11
2.59,teaspoon,blueberries,10.88
1.57,tablespoon,vinegar,23.55
0.39,teaspoon,zucchini,1.85
2.77,pint,raspberries,1126.78
2.78,gallon,pomegranate,11784.98
2.9,pound,vegetable broth,1381.21
1.05,gallon,rice,3378.11
2.36,liter,sour cream,2407.2
2.9,gallon,baking powder,9330.02
2.18,ounce,butter,56.86
1.95,cup,tomatoes,444.6
3.02,liter,gelatin,2567.0
4.3,pint,garam masala,1159.32
0.49,pound,pumpkin puree,233.38
4.82,cup,marshmallows,983.28
4.91,teaspoon,butter,22.59
0.99,pound,cardamom,224.53
2.23,gallon,cottage cheese,8609.36
1.56,teaspoon,watermelon,7.33
2.52,ounce,peach,70.01
1.5,gallon,apricots,4655.55
0.93,quart,garam masala,501.47
0.7,quart,oil,609.22
1.65,cup,cornstarch,221.76
3.71,ml,black beans,3.26
2.85,ml,orange,2.51
3.38,quart,zucchini,3037.61
4.59,liter,cashews,2754.0
3.99,gallon,green beans,13138.87
0.66,tablespoon,onion,9.11
3.02,ml,semolina,2.17
0.52,pound,milk,242.95
3.0,gallon,coconut oil,10446.6
4.63,ounce,canola oil,120.76
3.23,pint,oil,1405.57
1.64,gallon,cinnamon,3476.14
0.34,tablespoon,cheese,5.71
1.54,pint,raspberries,626.44
3.71,ounce,cheddar,108.33
2.45,liter,pineapple,2327.5
1.54,cup,cornmeal,314.16
2.36,ounce,pasta,60.22
4.52,quart,gelatin,3634.53
0.72,liter,garam masala,410.4
1.53,tablespoon,pasta,20.66
0.36,teaspoon,carrots,1.6
1.17,ounce,gelatin,28.19
2.64,pound,turmeric,622.7
3.09,ml,coconut oil,2.84
2.44,quart,sour cream,2354.4
4.5,cup,nutmeg,518.4
